Ablation,Group,Hypothesis,Result,Conclusion
baseline_rl,Baseline,Diagnoses whether the RL signal alone causes collapse,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
kl_penalty,A,If this helps: catastrophic forgetting is the primary cause; soft regularisation...,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
ewc,A,If EWC helps: forgetting pretrained representations is the proximate cause,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
llrd,A,If LLRD helps: deep gradient flow into early layers corrupts representations,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
lora,A,If LoRA works: too many unconstrained degrees of freedom cause collapse,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
mixed_replay,A,If mixed replay helps: online data distribution alone is too corrupted,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
trust_region_kl,A,If hard constraint helps: soft KL is insufficient — a hard boundary is needed,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
t_curriculum,B,If curriculum helps: ordering of learning signals matters,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
entropy_bonus,B,If entropy bonus helps: collapse is mode-collapse; not a gradient problem,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
gradient_surgery,B,If PCGrad helps: gradients are conflicting and resolvable by projection,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
advantage_clip,B,If clipping helps: large advantage magnitudes destabilise training,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
normalized_adv,B,If std normalisation helps: simple mean normalisation is too loose,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
bc_wins,B,If BC on wins helps: the return weighting is the specific cause,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
low_t,B,If low-t helps: high-t (coarse-structure) gradients are biased,NEUTRAL,Inconclusive — no significant change
frozen_backbone,C,If frozen backbone helps: deep gradient flow into backbone causes collapse,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
head_only,C,If head-only works: backbone representations are fine; only decision boundary ne...,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
attention_only,C,"If attention-only works: model needs routing updates, not feature updates",COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
ffn_only,C,If FFN-only works: stored knowledge (FFN as memory) needs updating; not attentio...,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
layer_ablation_top1,C,Minimal unfrozen depth needed; collapse depth correlates with gradient flow dept...,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
layer_ablation_top2,C,Minimal unfrozen depth needed; collapse depth correlates with gradient flow dept...,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
layer_ablation_top3,C,Minimal unfrozen depth needed; collapse depth correlates with gradient flow dept...,COLLAPSE,Hypothesis REFUTED — intervention did not prevent collapse
reward_filtering,D,If filtering helps: noisy/low-return data poisons gradients,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
running_stats,D,If running stats help: batch normalisation is too noisy for small batches,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
action_diversity,D,If diversity filtering helps: degenerate PPO plans corrupt training,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
reward_model,D,If reward model helps: raw returns are too sparse; learned model smooths signal,IMPROVEMENT,Hypothesis SUPPORTED — this intervention helps
